ProlificID,trialrespkey.corr,video_file,trialrespkey.rt,Group,Age,Gender,UKLicense,YearsExp,GlasgowExp,GlasgowYearsExp,"L - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 1. Attempt  to drive  away  from  traffic lights  in third gear","V - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 2.	Become impatient with  a slow driver  in the outer  lane and overtake on  the  inside","V - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 3.	Drive especially close  to the car  in front as  a signal  to its driver  to go faster  or get  out of the way","E - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 4.	Attempt  to overtake someone  that you hadn't noticed  to  be signalling a right  turn","L - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 5.	Forget  where  you  left your car  in car  park","L - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 6.	Switch  on  one  thing,  such as the headlights,  when  you meant  to switch  on  something  else,  such as the  wipers","L - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 7.	Realise  that  you have  no clear  recollection  of the road  along  which you have just  been  travelling","V - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 8.	Cross  a junction knowing  that the  traffic lights have  already  turned against  you","E - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 9.	Fail  to notice  that  pedestrians  are crossing when turning  into  a sides treet  from  a main  road","V - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 10.	Angered  by another driver's behaviour,  you give  chase  with the intention  of giving  him/her  a piece  of your mind","L - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 11.	Misread  the signs  and exit from  a roundabout  on the  wrong  road","V - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 12. Disregard the speed  limits  late at night or early  in the morning","Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 12. Please Select 5 on the scale","E - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 13.	On  turning  left, nearly  hit a cyclist  who has come  up on your  inside","Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 14. Queueing  to tum  left onto  main road,  you pay  such close  attention  to the  main stream  of  traffic that  you  nearly hit the car  in E - front","E - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 15. Drive  even  though  you realise  that  you may be over  the  legal blood alcohol limit","V - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 16.	Have  an aversion  to a particular class  of road  user,  and indicate your hostility  by  whatever  means you can","E - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 17.	Underestimate the  speed  of an oncoming vehicle when overtaking","L - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 18. Hit  something  reversing  that  you had  not previously  seen","L - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 19.	Intending  to drive to destination A, you 'wakeup'  to find yourself on the road to destination  B, perhaps  because  the  latter  is your more usual  destination","L - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 20.	Get  into  the wrong  lane approaching  a roundabout  or a junction","E - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 21.	Miss 'Give Way'  signs,  and  narrowly  avoid  colliding  with  traffic having  the  right of way","E - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 22.	Fail  to check  your rearview  mirror  before  pulling  out,  changing  lanes, etc.","V - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 23.	Get  involved  in unofficial 'races' with other  drivers","E - Driver Behaviour Questionnaire
On a 0-5 scale where 0 is 'Never' and 5 is 'Nearly all the time', please rate how often you... - 24.	Brake  too quickly  on  a slippery  road, or steer  the  wrong  way into  a skid",GroupCheck,Valid,Errors,Lapses,Violations
P2,0,Clip11,17.951,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip30,8.6826,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip21,58.6093,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip31,4.7638,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip40,7.5076,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip15,5.4028,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,0,Clip36,12.5189,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,0,Clip35,10.9847,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,0,Clip08,18.4281,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip33,12.9043,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,0,Clip04,11.4322,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip13,10.481,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,0,Clip28,9.3082,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip23,6.4374,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip25,21.5408,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip27,10.8853,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip05,7.046,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,0,Clip03,18.4751,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip07,5.359,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip12,7.8912,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,0,Clip34,6.6086,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,0,Clip10,20.0417,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
P2,1,Clip02,3.8472,Experienced,31,Male,Yes,10,No,NA,0,1,1,0,1,1,2,3,1,0,1,2,5,1,1,1,0,0,1,0,2,0,1,1,1,Experienced,TRUE,0.625,1,1.142857143
